gi|56550897|ref|YP_161736.1|	K02014
gi|56550898|ref|YP_161737.1|	K00817
gi|56550899|ref|YP_161738.1|	K00860
gi|56550900|ref|YP_161739.1|	K00956
gi|56550901|ref|YP_161740.1|	K00957
gi|56550902|ref|YP_161741.1|	K02302
gi|56550903|ref|YP_161742.1|	K00390
gi|56550904|ref|YP_161743.1|	K00381
gi|56550905|ref|YP_161744.1|	K00380
gi|56550906|ref|YP_161745.1|	K07043
gi|283856169|ref|YP_161746.2|
gi|56550908|ref|YP_161747.1|	K02495
gi|56550909|ref|YP_161748.1|	K02428
gi|56550910|ref|YP_161749.1|	K00989
gi|56550911|ref|YP_161750.1|	K03705
gi|56550912|ref|YP_161751.1|	K03687
gi|56550913|ref|YP_161752.1|	K03500
gi|56550914|ref|YP_161753.1|	K01783
gi|56550915|ref|YP_161754.1|
gi|283856170|ref|YP_161755.2|
gi|56550917|ref|YP_161756.1|
gi|56550918|ref|YP_161757.1|
gi|56550919|ref|YP_161758.1|	K03719
gi|283856171|ref|YP_161760.2|
gi|56550922|ref|YP_161761.1|
gi|56550923|ref|YP_161762.1|	K00602
gi|56550924|ref|YP_161763.1|	K07448
gi|56550925|ref|YP_161764.1|	K07126
gi|56550926|ref|YP_161765.1|
gi|283856172|ref|YP_161766.2|
gi|56550929|ref|YP_161768.1|	K09160
gi|56550931|ref|YP_161770.1|	K10645
gi|56550932|ref|YP_161771.1|
gi|56550933|ref|YP_161772.1|	K02806
gi|56550934|ref|YP_161773.1|
gi|56550935|ref|YP_161774.1|	K02342
gi|56550936|ref|YP_161775.1|	K00859
gi|283856173|ref|YP_161776.2|	K00014
gi|56550939|ref|YP_161778.1|	K06287
gi|56550940|ref|YP_161779.1|
gi|283856174|ref|YP_161781.2|
gi|56550946|ref|YP_161785.1|
gi|56550948|ref|YP_161787.1|	K03449
gi|56550949|ref|YP_161788.1|	K00433
gi|56550950|ref|YP_161789.1|
gi|283856175|ref|YP_161790.2|	K07090
gi|56550952|ref|YP_161791.1|	K00820
